Qty,Value,Device,Package,Parts,Description,ALT1,ALT_1,DATASHEET-URL,IR,MF,MOUNT,MPN,OC_DIGIKEY,OC_FARNELL,OC_MOUSER,PART-NUMBER,POPULARITY,SPICEPREFIX,TYPE,VALUE,WORKING-VOLTAGE,Unnamed: 22,Item
1,,S8B-PH-SM4-TB,S8B-PH-SM4-TB,J2,"Pin Header, Side Entry, Wire-to-Board, 2 mm, 1 Rows, 8 Contacts, Surface Mount, PH",,,,,JST,,S8B-PH-SM4-TB(LF)(SN),,9492674,,,,,,,,,abc
1,,SIDE6B-PH-SM4-TB,S6B-PH-SM4-TB,J1,,,,,,JST,,S6B-PH-SM4-TB(LF)(SN),,9492658,,,,,,,,,abc
1, 694108301002 ,694108301002,694108301002,J4,WR-DC DC Power Jack Right Angled (6.4),,,https://www.we-online.com/catalog/datasheet/694108301002.pdf,5A,,THT,,,,,694108301002.0,,,Right Angled,694108301002.0,30V(AC),,abc
2,0R,R-EU_R0603,R0603,"R13, R14","RESISTOR, European symbol",,,,,,,,,,,,70.0,R,,,,,abc
1,"100nf, 100V",C-EUC0805,C0805,C2,"CAPACITOR, European symbol",,,,,,,,,,,,88.0,C,,,,,abc
4,"10K, 500mW",R-EU_R0805,R0805,"R5, R6, R7, R9","RESISTOR, European symbol",,,,,TE CONECTIVITY,,CRGS0805J10K,,2531799,,,86.0,R,,,,,abc
1,10V,"SMAZ10-TP,10V,1WDO-214AC",DO-214AC,D3,"ZENER DIODE, 1W, 10V, DO-214AC",,,,,MICRO COMMERCIAL COMPONENTS,,SMAZ10-TP,,1924460,,,25.0,,,,,,abc
2,"10V, SMAZ10-TP ","SMAZ10-TP,10V,1WDO-214AC",DO-214AC,"D5, D6","ZENER DIODE, 1W, 10V, DO-214AC",,,,,MICRO COMMERCIAL COMPONENTS,,SMAZ10-TP,,1924460,,,25.0,,,,,,abc
1,10k,R-EU_R0603,R0603,R4,"RESISTOR, European symbol",,,,,,,,,,,,70.0,R,,,,,abc
1,1K,R-EU_R0603,R0603,R2,"RESISTOR, European symbol",,,,,,,,,,,,70.0,R,,,,,abc
1,1k,R-EU_R0603,R0603,R3,"RESISTOR, European symbol",,,,,,,,,,,,70.0,R,,,,,abc
1,"20V, SZ1SMB5932BT3G, 3W",SZ1SMB5932BT3G,SMBJ,D2,"Zener Single Diode, 20 V, 3 W, DO-214AA (SMB), 5 %, 2 Pins, 150 Â°C",,,,,ONSEMI,,SZ1SMB5932BT3G,,3607189,,,,,,,,,abc
1,431256031716,431256031716,4312560317X6,SW1,Tactile Switches WS-TATU Tact RA THT H:3.15mm Blck Act,,,,,WURTH,,431256031716,,,710-431256031716,,,,,,,,abc
1,47uF,CPOL-EU153CLV-1012,153CLV-1012,C1,"POLARIZED CAPACITOR, European symbol",,,,,KEMET ,,A768MS476M1KLAE034 ,,,80-A768MS476M1KLAE34,,0.0,C,,,,,abc
1,4K7,R-EU_R0805,R0805,R10,"RESISTOR, European symbol",,,,,,,,,,,,86.0,R,,,,,abc
1,5K1,R-EU_R0603,R0603,R17,"RESISTOR, European symbol",,,,,,,,,,,,70.0,R,,,,,abc
1,5k1,R-EU_R0603,R0603,R16,"RESISTOR, European symbol",,,,,,,,,,,,70.0,R,,,,,abc
2,"6K8, 330mW",R-EU_R0805,R0805,"R1, R8","RESISTOR, European symbol",,,,,NEOHM - TE CONNECTIVITY,,9-1879377-4,,3791034,,,86.0,R,,,,,abc
1,DNP,CPOL-EU153CLV-1012,153CLV-1012,C3,"POLARIZED CAPACITOR, European symbol",,,,,KEMET ,,A768MS476M1KLAE034 ,,,80-A768MS476M1KLAE34,,0.0,C,,,,,abc
2,DNP,R-EU_R1206,R1206,"R18, R19","RESISTOR, European symbol",,,,,,,,,,,,41.0,R,,,,,abc
2,ESD204B,ESD204B102ELE6327XTMA1,ESD204B102ELE6327XTMA1,"D1, D8",,,,,,INFINEON,,ESD204B102ELE6327XTMA1,,2480935,,,,,,,,,abc
2,FDN5632N-F085,FDN5632N-F085,SOT23,"Q1, Q2",MOSFET Trans MOS N-Ch 60V 1.7A,,,,,onsemi / Fairchild ,,FDN5632N-F085,,,512-FDN5632N-F085,,,,,,,,abc
2,RD3L07BAT,RD3L07BAT,D-PAK_TO252AA,"Q3, Q4","Power MOSFET, P Channel, 60 V, 70 A, 0.0101 ohm, TO-252 (DPAK), Surface Mount",SUD50P08-25L-E3,,,,ROHM,,RD3L07BATTL1,,3639763,,,,,,,,,abc
1,S2P-VH(LF)(SN),S2P-VH(LF)(SN),S2P-VH(LF)(SN),X1,,,1-1318300-2,,,JST,,S2P-VH(LF)(SN),S2P-VH(LF)(SN)-ND,unknown,,,,,,,,,abc
1,SMBj48A-TP,SUPPRESSOR-SMBJ,SMBJ,D7,Suppressor diode,,,,,MCC,,SMBj48A-TP,,,833-SMBJ48A-TP ,,3.0,,,,,,abc
2,SSQ-104-01-F-S,SSQ-104-01-F-S,FE04-1,"J5, J6","Headers & Wire Housings Tiger Buy Socket Strip with Square Tails, 0.100 Pitch",,,,,SAMTEC,,SSQ-104-01-F-S,,,200-SSQ10401FS,,,,,,,,abc
1,USB4085-GF-A,USB4085-GF-A,GCT_USB4085-GF-A_REVA4,J3,"USB Connectors USB Type C, 2.0, Rec, TH , G/F, RA , Top Mnt, T & R",,,,,GCT,,USB4085-GF-A,,,640-USB4085-GF-A,,,,,,,,abc
